semester,kelas,mapel,kehadiran,nilai_mapel,hasil_akhir
ganjil,10,pai,100,91,lulus
ganjil,10,pai,100,95,lulus
ganjil,10,pai,100,78,recourse
ganjil,10,pai,80,73,lulus
ganjil,10,pai,100,80,lulus
ganjil,10,pai,20,78,recourse
ganjil,10,pai,100,78,recourse
ganjil,10,pai,90,83,recourse
ganjil,10,pai,50,68,recourse
ganjil,10,pai,90,77,lulus
ganjil,10,pai,100,79,lulus
ganjil,10,pai,95,89,lulus
ganjil,10,pai,95,81,lulus
ganjil,10,pai,100,74,lulus
ganjil,10,pai,95,81,recourse
ganjil,10,pai,95,75,lulus
ganjil,10,pai,100,83,lulus
ganjil,10,pai,85,73,lulus
ganjil,10,pai,100,74,lulus
ganjil,10,pai,100,92,lulus
ganjil,10,pai,100,82,lulus
ganjil,10,pai,95,85,lulus
ganjil,10,pai,95,86,lulus
ganjil,10,pai,90,90,lulus
ganjil,10,pai,95,88,lulus
ganjil,10,pai,70,81,lulus
ganjil,10,pai,90,80,lulus
ganjil,10,pai,95,80,lulus
ganjil,10,pai,95,96,lulus
ganjil,10,pai,95,86,lulus
ganjil,10,pai,95,91,lulus
ganjil,10,pai,95,76,lulus
ganjil,10,pai,95,73,lulus
ganjil,10,pai,70,82,recourse
ganjil,10,pai,95,89,lulus
ganjil,10,pai,82,83,lulus
ganjil,10,pai,95,84,lulus
ganjil,10,pai,78,73,lulus
ganjil,10,pai,95,71,lulus
ganjil,10,pai,96,73,lulus
ganjil,10,pai,95,85,lulus
ganjil,10,pai,98,90,lulus
ganjil,10,pai,90,86,lulus
ganjil,10,pai,46,84,recourse
ganjil,10,pai,90,83,lulus
ganjil,10,pai,95,93,lulus
ganjil,10,pai,86,78,lulus
ganjil,10,pai,90,84,lulus
ganjil,10,pai,95,76,lulus
ganjil,10,pai,82,90,lulus
ganjil,10,pai,95,79,lulus
ganjil,10,pai,69,81,lulus
ganjil,10,pai,95,86,lulus
ganjil,10,pai,95,94,lulus
ganjil,10,pai,98,88,lulus
ganjil,10,pai,95,80,lulus
ganjil,10,pai,100,81,lulus
ganjil,10,pai,90,84,lulus
ganjil,10,pai,95,90,lulus
ganjil,10,pai,20,80,recourse
ganjil,10,pai,100,82,lulus
ganjil,10,pai,100,89,lulus
ganjil,10,pai,95,89,lulus
ganjil,10,pai,100,83,lulus
ganjil,10,pai,90,70,lulus
ganjil,10,pai,90,66,recourse
ganjil,10,pai,100,76,lulus
ganjil,10,pai,100,78,lulus
ganjil,10,pai,100,81,lulus
ganjil,10,pai,90,77,lulus
ganjil,10,pai,100,96,lulus
ganjil,10,pai,80,87,lulus
ganjil,10,pai,95,74,lulus
ganjil,10,pai,70,69,recourse
ganjil,10,pai,100,85,lulus
ganjil,10,pai,100,91,lulus
ganjil,10,pai,100,87,lulus
ganjil,10,pai,100,75,lulus
ganjil,10,pai,100,84,lulus
ganjil,10,pai,100,75,lulus
ganjil,10,pai,70,66,recourse
ganjil,10,bahasa,90,75,lulus
ganjil,10,bahasa,94,90,lulus
ganjil,10,bahasa,89,77,lulus
ganjil,10,bahasa,90,82,lulus
ganjil,10,bahasa,91,83,lulus
ganjil,10,bahasa,74,75,recourse
